local,ano,analfabetas %,acessam %
Brasil,2011,9.83,46.5
Brasil,2009,8.93,41.6
Brasil,2008,9.18,34.7
Brasil,2005,10.19,20.9
Norte,2011,12.77,35.4
Norte,2009,9.6,33.1
Norte,2008,9.72,26.4
Norte,2005,10.66,11.7
Nordeste,2011,17.4,34
Nordeste,2009,16.99,30
Nordeste,2008,17.66,24.9
Nordeste,2005,20,11.9
Sudeste,2011,5.95,54.2
Sudeste,2009,5.24,48.1
Sudeste,2008,5.38,40.3
Sudeste,2005,6.02,26.2
Sul,2011,6.2,50.1
Sul,2009,5.05,45.9
Sul,2008,5.02,38.6
Sul,2005,5.39,25.5
Centro-Oeste,2011,7.57,53.1
Centro-Oeste,2009,7.25,47.2
Centro-Oeste,2008,7.42,39.4
Centro-Oeste,2005,8.03,23.4
