estado,sigla,PIB estadual 2010,renda per capita,utilizam,utilizam %
Rondônia,RO,23561,646.78,0.575,42.8
Acre,AC,8477,497.44,0.248,40.8
Amazonas,AM,59779,508.28,1.068,37.3
Roraima,RR,6341,578.38,0.183,48.1
Pará,PA,77848,429.57,1.962,30.7
Amapá,AP,8266,575.42,0.234,41.1
Tocantins,TO,17240,571.51,0.456,38.2
Maranhão,MA,45256,348.72,1.305,24.1
Piauí,PI,22060,408.27,0.639,24.2
Ceará,CE,77865,445.88,2.468,33.4
Rio Grande do Norte,RN,32339,531.56,1.02,36.5
Paraíba,PB,31947,462.29,1.267,38.4
Pernambuco,PE,95187,508.82,2.82,37.2
Alagoas,AL,24575,421.32,0.903,34.3
Sergipe,SE,23932,508.2,0.612,34.5
Bahia,BA,154340,481.18,4.436,37.21
Minas Gerais,MG,351381,733.24,7.549,43.6
Espírito Santo,ES,82122,795.33,1.505,48.5
Rio de Janeiro,RJ,407123,993.21,7.801,54.5
São Paulo,SP,1247596,1036.51,21.872,59.5
Paraná,PR,217290,870.59,4.715,51.1
Santa Catarina,SC,152482,967.45,2.924,52.1
Rio Grande do Sul,RS,252483,940.28,4.517,48
Mato Grosso do Sul,MS,43514,784.97,1.115,51.7
Mato Grosso,MT,59600,735.32,1.321,49.5
Goiás,GO,97576,785.17,2.532,47.7
Distrito Federal,DF,149906,1665.42,1.624,71.1
